product_id,address,price,area,bedrooms_num,bathrooms_num
42113987,"·
Quận 2, Hồ Chí Minh","12,2 tỷ",117 m²,0,0
39872224,"·
Sơn Trà, Đà Nẵng","2,5 tỷ","45,5 m²",1,1
42114003,"·
Liên Chiểu, Đà Nẵng","3,21 tỷ","53,54 m²",0,0
39141708,"·
Quận 9, Hồ Chí Minh","2,2 tỷ",59 m²,2,1
42113760,"·
Quận 2, Hồ Chí Minh","15,9 tỷ","80,86 m²",2,2
42113699,"·
Gia Lâm, Hà Nội",Giá thỏa thuận,73 m²,6,4
41402667,"·
Đông Anh, Hà Nội","14,98 tỷ",65 m²,5,5
29605935,"·
Nhơn Trạch, Đồng Nai","18,6 tỷ",320 m²,0,0
42113434,"·
Thuận An, Bình Dương","2,9 tỷ",110 m²,2,2
42113430,"·
Gia Lâm, Hà Nội","5,25 tỷ",80 m²,3,0
34835598,"·
Gia Lâm, Hà Nội","22,5 tỷ",150 m²,0,0
42093998,"·
Gia Lâm, Hà Nội","28,8 tỷ","148,5 m²",4,4
42043262,"·
Tây Hồ, Hà Nội","30,5 tỷ","234,4 m²",4,4
42111657,"·
Gò Vấp, Hồ Chí Minh","6,95 tỷ",45 m²,3,4
42107065,"·
Gia Lâm, Hà Nội",Giá thỏa thuận,"48,2 m²",1,1
41667499,"·
Bình Thạnh, Hồ Chí Minh","12,7 tỷ",108 m²,3,2
41497013,"·
Gia Lâm, Hà Nội",140 tỷ,306 m²,0,0
41988254,"·
Tân Phú, Hồ Chí Minh","7,62 tỷ",121 m²,3,3
40790843,"·
Quận 2, Hồ Chí Minh",11 tỷ,94 m²,2,2
38146522,"·
Quận 7, Hồ Chí Minh","6,6 tỷ",120 m²,3,2
40284815,"·
Quận 2, Hồ Chí Minh","15,7 tỷ",81 m²,2,2
42105587,"·
Đông Anh, Hà Nội",48 tỷ,136 m²,0,0
42104904,"·
Nam Từ Liêm, Hà Nội",Giá thỏa thuận,76 m²,2,2
